"slug","name","activity_slug","round_or_number","author_slugs","keyword_slugs","puzzle_page","solution_page"
"clue-14","#14 四只小猪","ccbc-11","R2-#14","yao-yu","pigpen,constellation,crossword","https://archive.cipherpuzzles.com/index.html#/problem?c=ccbc11/problems/14","https://archive.cipherpuzzles.com/index.html#/problem?c=ccbc11/problems/14"
"clue-15","#15 神秘的诗词","ccbc-11","R2-#15","xiao-ha","chessboard,poetry,honor-of-kings","https://archive.cipherpuzzles.com/index.html#/problem?c=ccbc11/problems/15","https://archive.cipherpuzzles.com/index.html#/problem?c=ccbc11/problems/15"
"clue-16","#16 一道货真价实的“水”题","ccbc-11","R2-#16","yao-yu","mangled-clues","https://archive.cipherpuzzles.com/index.html#/problem?c=ccbc11/problems/16","https://archive.cipherpuzzles.com/index.html#/problem?c=ccbc11/problems/16"
"clue-17","#17 甜品单","ccbc-11","R2-#17","yao-yu","calculate,android-version","https://archive.cipherpuzzles.com/index.html#/problem?c=ccbc11/problems/17","https://archive.cipherpuzzles.com/index.html#/problem?c=ccbc11/problems/17"
"clue-18","#18 奥数训练题","ccbc-11","R2-#18","es","other-base-system,calculate","https://archive.cipherpuzzles.com/index.html#/problem?c=ccbc11/problems/18","https://archive.cipherpuzzles.com/index.html#/problem?c=ccbc11/problems/18"
"clue-19","#19 层峦叠翠","ccbc-11","R2-#19","yao-yu","caesar-cipher,physical-geography","https://archive.cipherpuzzles.com/index.html#/problem?c=ccbc11/problems/19","https://archive.cipherpuzzles.com/index.html#/problem?c=ccbc11/problems/19"
"clue-20","#20 迷人的花朵","ccbc-11","R2-#20","yao-yu","monetary-characteristics","https://archive.cipherpuzzles.com/index.html#/problem?c=ccbc11/problems/20","https://archive.cipherpuzzles.com/index.html#/problem?c=ccbc11/problems/20"
"clue-21","#21 神秘的迷宫","ccbc-11","R2-#21","yao-yu","labyrinth,pictography","https://archive.cipherpuzzles.com/index.html#/problem?c=ccbc11/problems/21","https://archive.cipherpuzzles.com/index.html#/problem?c=ccbc11/problems/21"
"clue-22","#22 歌声与数字","ccbc-11","R3-#22","yao-yu","dialect,lyrics,listen-music-recognition","https://archive.cipherpuzzles.com/index.html#/problem?c=ccbc11/problems/22","https://archive.cipherpuzzles.com/index.html#/problem?c=ccbc11/problems/22"
"clue-23","#23 这是一棵树","ccbc-11","R3-#23","yao-yu","chinese-character-form-phrases","https://archive.cipherpuzzles.com/index.html#/problem?c=ccbc11/problems/23","https://archive.cipherpuzzles.com/index.html#/problem?c=ccbc11/problems/23"
"clue-24","#24 五颜六色的EMOJI","ccbc-11","R3-#24","yao-yu","9-keyboard,idiom-and-colloquialism,emoji","https://archive.cipherpuzzles.com/index.html#/problem?c=ccbc11/problems/24","https://archive.cipherpuzzles.com/index.html#/problem?c=ccbc11/problems/24"
"clue-25","#25 文字历险游戏","ccbc-11","R3-#25","yao-yu","semaphore,conditional-reasoning","https://archive.cipherpuzzles.com/index.html#/problem?c=ccbc11/problems/25","https://archive.cipherpuzzles.com/index.html#/problem?c=ccbc11/problems/25"
"clue-26","#26 小区里的连环杀人案","ccbc-11","R3-#26","seven,diao","conditional-reasoning","https://archive.cipherpuzzles.com/index.html#/problem?c=ccbc11/problems/26","https://archive.cipherpuzzles.com/index.html#/problem?c=ccbc11/problems/26"
"clue-27","#27 宝可梦！宝可梦！","ccbc-11","R3-#27","yao-yu","single-table,pokemon","https://archive.cipherpuzzles.com/index.html#/problem?c=ccbc11/problems/27","https://archive.cipherpuzzles.com/index.html#/problem?c=ccbc11/problems/27"
"clue-28","#28 蒙德里安的新作","ccbc-11","R3-#28","seven","pictography,meng-de-li-an","https://archive.cipherpuzzles.com/index.html#/problem?c=ccbc11/problems/28","https://archive.cipherpuzzles.com/index.html#/problem?c=ccbc11/problems/28"
"clue-29","#29 空即是色","ccbc-11","R3-#29","yao-yu","rgc-code,colour","https://archive.cipherpuzzles.com/index.html#/problem?c=ccbc11/problems/29","https://archive.cipherpuzzles.com/index.html#/problem?c=ccbc11/problems/29"
"clue-30","#30 五行迷阵","ccbc-11","R3-#30","yao-yu","binary,five-elements,word-search,chinese-character-shape","https://archive.cipherpuzzles.com/index.html#/problem?c=ccbc11/problems/30","https://archive.cipherpuzzles.com/index.html#/problem?c=ccbc11/problems/30"
"strange-bottle","奇怪的瓶子","ccbc-12","A-1709","piggy","aquarium","https://archive.cipherpuzzles.com/index.html#/problem?c=ccbc12/problems/a/p1709","https://archive.cipherpuzzles.com/index.html#/problem?c=ccbc12/problems/a/p1709"
"lost-ceramic-tiles","丢失的瓷砖","ccbc-12","A-1727","fivero","hiddle","https://archive.cipherpuzzles.com/index.html#/problem?c=ccbc12/problems/a/p1727","https://archive.cipherpuzzles.com/index.html#/problem?c=ccbc12/problems/a/p1727"
"plants-vs-zombies","植物大战僵尸","ccbc-12","A-1760","fivero","plants-vs-zombies","https://archive.cipherpuzzles.com/index.html#/problem?c=ccbc12/problems/a/p1760","https://archive.cipherpuzzles.com/index.html#/problem?c=ccbc12/problems/a/p1760"
"coffee-shop","咖啡店","ccbc-12","A-1780","piggy","rainbow,coffee-types","https://archive.cipherpuzzles.com/index.html#/problem?c=ccbc12/problems/a/p1780","https://archive.cipherpuzzles.com/index.html#/problem?c=ccbc12/problems/a/p1780"
"colorful-clock","多彩座钟","ccbc-12","A-1791","fivero","morse-code","https://archive.cipherpuzzles.com/index.html#/problem?c=ccbc12/problems/a/p1791","https://archive.cipherpuzzles.com/index.html#/problem?c=ccbc12/problems/a/p1791"
"spring-festival-couplets","春联","ccbc-12","A-1796","nano","caesar-cipher","https://archive.cipherpuzzles.com/index.html#/problem?c=ccbc12/problems/a/p1796","https://archive.cipherpuzzles.com/index.html#/problem?c=ccbc12/problems/a/p1796"
"capture-the-flag","welcome_to_ccbc_ctf (Web)","ccbc-12","A-1853","yyao","ascii,capture-the-flag","https://archive.cipherpuzzles.com/index.html#/problem?c=ccbc12/problems/a/p1853","https://archive.cipherpuzzles.com/index.html#/problem?c=ccbc12/problems/a/p1853"
"calligraphy","书法","ccbc-12","A-1947","piggy","kanto-expand,isomerism-character,famous-book","https://archive.cipherpuzzles.com/index.html#/problem?c=ccbc12/problems/a/p1947","https://archive.cipherpuzzles.com/index.html#/problem?c=ccbc12/problems/a/p1947"
"wechat-screenshot","微信截图","ccbc-12","A-2024","yyao","ipad-keyboard","https://archive.cipherpuzzles.com/index.html#/problem?c=ccbc12/problems/a/p2024","https://archive.cipherpuzzles.com/index.html#/problem?c=ccbc12/problems/a/p2024"
"i-wanna","I Wanna","ccbc-12","A-2085","yyao","pictography","https://archive.cipherpuzzles.com/index.html#/problem?c=ccbc12/problems/a/p2085","https://archive.cipherpuzzles.com/index.html#/problem?c=ccbc12/problems/a/p2085"
"twelve-character-mantra","十二字真言","ccbc-12","B-1747","yyao","pinyin,chinese-character-pronunciation","https://archive.cipherpuzzles.com/index.html#/problem?c=ccbc12/problems/b/p1747","https://archive.cipherpuzzles.com/index.html#/problem?c=ccbc12/problems/b/p1747"
"top-secret-document","绝密文件","ccbc-12","B-1834","sonic","naked-eye-3-d,pictography","https://archive.cipherpuzzles.com/index.html#/problem?c=ccbc12/problems/b/p1834","https://archive.cipherpuzzles.com/index.html#/problem?c=ccbc12/problems/b/p1834"
"fantasy-novels","玄幻小说","ccbc-12","B-1942","piggy","acupoint","https://archive.cipherpuzzles.com/index.html#/problem?c=ccbc12/problems/b/p1942","https://archive.cipherpuzzles.com/index.html#/problem?c=ccbc12/problems/b/p1942"
"band-rehearsal","乐队排练","ccbc-12","B-1982","sonic","morse-code,9-keyboard,music-tune","https://archive.cipherpuzzles.com/index.html#/problem?c=ccbc12/problems/b/p1982","https://archive.cipherpuzzles.com/index.html#/problem?c=ccbc12/problems/b/p1982"
"broken-poster","破碎的海报","ccbc-12","B-1989","sonic","calendar","https://archive.cipherpuzzles.com/index.html#/problem?c=ccbc12/problems/b/p1989","https://archive.cipherpuzzles.com/index.html#/problem?c=ccbc12/problems/b/p1989"
"black-square-stele","黑色方碑","ccbc-12","B-2001","fivero","roman-numeral,chemical-element,8-big-planet,alchemical-symbols","https://archive.cipherpuzzles.com/index.html#/problem?c=ccbc12/problems/b/p2001","https://archive.cipherpuzzles.com/index.html#/problem?c=ccbc12/problems/b/p2001"
"power-point","幻灯片","ccbc-12","B-2016","fivero","ios-icon,dice","https://archive.cipherpuzzles.com/index.html#/problem?c=ccbc12/problems/b/p2016","https://archive.cipherpuzzles.com/index.html#/problem?c=ccbc12/problems/b/p2016"
"badge-storage-box","徽章收纳盒","ccbc-12","B-2058","piggy","club-badge","https://archive.cipherpuzzles.com/index.html#/problem?c=ccbc12/problems/b/p2058","https://archive.cipherpuzzles.com/index.html#/problem?c=ccbc12/problems/b/p2058"
"winding-curve","蜿蜒曲线","ccbc-12","B-2063","piggy","rainbow,physical-geography","https://archive.cipherpuzzles.com/index.html#/problem?c=ccbc12/problems/b/p2063","https://archive.cipherpuzzles.com/index.html#/problem?c=ccbc12/problems/b/p2063"
"silhouette","剪影","ccbc-12","C-1738","yyao","raster-animation","https://archive.cipherpuzzles.com/index.html#/problem?c=ccbc12/problems/c/p1738","https://archive.cipherpuzzles.com/index.html#/problem?c=ccbc12/problems/c/p1738"
"zuma","祖玛","ccbc-12","C-1764","yyao","word-formation","https://archive.cipherpuzzles.com/index.html#/problem?c=ccbc12/problems/c/p1764","https://archive.cipherpuzzles.com/index.html#/problem?c=ccbc12/problems/c/p1764"
"a-corner-of-the-chessboard","棋盘一角","ccbc-12","C-1799","sonic","gobang","https://archive.cipherpuzzles.com/index.html#/problem?c=ccbc12/problems/c/p1799","https://archive.cipherpuzzles.com/index.html#/problem?c=ccbc12/problems/c/p1799"
"program-list","节目单","ccbc-12","C-1865","wilsey","anagram,listen-music-recognition","https://archive.cipherpuzzles.com/index.html#/problem?c=ccbc12/problems/c/p1865","https://archive.cipherpuzzles.com/index.html#/problem?c=ccbc12/problems/c/p1865"
"red-note-paper","红色便签纸","ccbc-12","C-1893","yyao","nato","https://archive.cipherpuzzles.com/index.html#/problem?c=ccbc12/problems/c/p1893","https://archive.cipherpuzzles.com/index.html#/problem?c=ccbc12/problems/c/p1893"
"cuneiform-script","楔形文字","ccbc-12","C-1909","yyao","pigpen,semaphore,binary","https://archive.cipherpuzzles.com/index.html#/problem?c=ccbc12/problems/c/p1909","https://archive.cipherpuzzles.com/index.html#/problem?c=ccbc12/problems/c/p1909"
"a-i","A/I","ccbc-12","C-1921","fivero","international-system-of-units,physical-symbol","https://archive.cipherpuzzles.com/index.html#/problem?c=ccbc12/problems/c/p1921","https://archive.cipherpuzzles.com/index.html#/problem?c=ccbc12/problems/c/p1921"
"dance-mv","舞蹈MV","ccbc-12","C-1957","sonic","dancing-man","https://archive.cipherpuzzles.com/index.html#/problem?c=ccbc12/problems/c/p1957","https://archive.cipherpuzzles.com/index.html#/problem?c=ccbc12/problems/c/p1957"
"neon-display-screen","霓虹显示屏","ccbc-12","C-1984","yyao","rgc-code,sudoku","https://archive.cipherpuzzles.com/index.html#/problem?c=ccbc12/problems/c/p1984","https://archive.cipherpuzzles.com/index.html#/problem?c=ccbc12/problems/c/p1984"
"pac-man","吃豆人","ccbc-12","C-1986","piggy","resistance,pictography","https://archive.cipherpuzzles.com/index.html#/problem?c=ccbc12/problems/c/p1986","https://archive.cipherpuzzles.com/index.html#/problem?c=ccbc12/problems/c/p1986"
"numbers-and-words","数字与字","ccbc-12","C-2005","yyao","idiom-and-colloquialism,chinese-character-homophonic","https://archive.cipherpuzzles.com/index.html#/problem?c=ccbc12/problems/c/p2005","https://archive.cipherpuzzles.com/index.html#/problem?c=ccbc12/problems/c/p2005"
"incomplete-paper","残缺纸张","ccbc-12","C-2068","yyao","semantic-transformation","https://archive.cipherpuzzles.com/index.html#/problem?c=ccbc12/problems/c/p2068","https://archive.cipherpuzzles.com/index.html#/problem?c=ccbc12/problems/c/p2068"
"movable-type-printing-plate","活字印刷版","ccbc-12","D-1715","yyao","idiom-and-colloquialism","https://archive.cipherpuzzles.com/index.html#/problem?c=ccbc12/problems/d/p1715","https://archive.cipherpuzzles.com/index.html#/problem?c=ccbc12/problems/d/p1715"
"mushroom-illustrated-guild","蘑菇图鉴","ccbc-12","D-1750","seven","fungal-name","https://archive.cipherpuzzles.com/index.html#/problem?c=ccbc12/problems/d/p1750","https://archive.cipherpuzzles.com/index.html#/problem?c=ccbc12/problems/d/p1750"
"bits","Bits","ccbc-12","D-1814","yyao","qrcode,peano-curve","https://archive.cipherpuzzles.com/index.html#/problem?c=ccbc12/problems/d/p1814","https://archive.cipherpuzzles.com/index.html#/problem?c=ccbc12/problems/d/p1814"
"grey-red-blue-green","灰红蓝绿","ccbc-12","D-1868","piggy","braille,refuse-classification","https://archive.cipherpuzzles.com/index.html#/problem?c=ccbc12/problems/d/p1868","https://archive.cipherpuzzles.com/index.html#/problem?c=ccbc12/problems/d/p1868"
"5-examination-4-simulation","五年高考四年模拟","ccbc-12","D-1939","fivero","vigenere,five-stroke,four-corner,five-elements,four-images,chinese-character-shape","https://archive.cipherpuzzles.com/index.html#/problem?c=ccbc12/problems/d/p1939","https://archive.cipherpuzzles.com/index.html#/problem?c=ccbc12/problems/d/p1939"
"interstellar-battleship","星际战舰","ccbc-12","D-1963","yyao","star-battle,battle-ship","https://archive.cipherpuzzles.com/index.html#/problem?c=ccbc12/problems/d/p1963","https://archive.cipherpuzzles.com/index.html#/problem?c=ccbc12/problems/d/p1963"
"classic-games","经典游戏","ccbc-12","D-2012","piggy","chessboard,mario","https://archive.cipherpuzzles.com/index.html#/problem?c=ccbc12/problems/d/p2012","https://archive.cipherpuzzles.com/index.html#/problem?c=ccbc12/problems/d/p2012"
"rope-string","绳串","ccbc-12","D-2088","piggy","pictography","https://archive.cipherpuzzles.com/index.html#/problem?c=ccbc12/problems/d/p2088","https://archive.cipherpuzzles.com/index.html#/problem?c=ccbc12/problems/d/p2088"
"giant-honeycomb","巨型蜂巢","ccbc-12","E-1722","yyao","morse-code,nonogram,pictography","https://archive.cipherpuzzles.com/index.html#/problem?c=ccbc12/problems/e/p1722","https://archive.cipherpuzzles.com/index.html#/problem?c=ccbc12/problems/e/p1722"
"new-three-character-classic","新·三字经","ccbc-12","E-1753","yyao","ternary,sinico-japanese-and-hangul","https://archive.cipherpuzzles.com/index.html#/problem?c=ccbc12/problems/e/p1753","https://archive.cipherpuzzles.com/index.html#/problem?c=ccbc12/problems/e/p1753"
"magic-guild","魔术指南","ccbc-12","E-1830","yyao","binary,magic-shuffle","https://archive.cipherpuzzles.com/index.html#/problem?c=ccbc12/problems/e/p1830","https://archive.cipherpuzzles.com/index.html#/problem?c=ccbc12/problems/e/p1830"
"function","函数","ccbc-12","E-1899","yyao","function","https://archive.cipherpuzzles.com/index.html#/problem?c=ccbc12/problems/e/p1899","https://archive.cipherpuzzles.com/index.html#/problem?c=ccbc12/problems/e/p1899"
"geometry","几何","ccbc-12","E-1917","yyao","geometry","https://archive.cipherpuzzles.com/index.html#/problem?c=ccbc12/problems/e/p1917","https://archive.cipherpuzzles.com/index.html#/problem?c=ccbc12/problems/e/p1917"
"building-blocks","积木","ccbc-12","E-1974","yyao","jigsaw","https://archive.cipherpuzzles.com/index.html#/problem?c=ccbc12/problems/e/p1974","https://archive.cipherpuzzles.com/index.html#/problem?c=ccbc12/problems/e/p1974"
"sonnet","十四行诗","ccbc-12","E-1992","wilsey","sonnet,word-formation","https://archive.cipherpuzzles.com/index.html#/problem?c=ccbc12/problems/e/p1992","https://archive.cipherpuzzles.com/index.html#/problem?c=ccbc12/problems/e/p1992"
"mysterious-activities","神秘活动","ccbc-12","E-2021","sonic","sstv","https://archive.cipherpuzzles.com/index.html#/problem?c=ccbc12/problems/e/p2021","https://archive.cipherpuzzles.com/index.html#/problem?c=ccbc12/problems/e/p2021"
"two-dimensional-biology","二维生物","ccbc-12","E-2051","sonic","conditional-reasoning,pokemon","https://archive.cipherpuzzles.com/index.html#/problem?c=ccbc12/problems/e/p2051","https://archive.cipherpuzzles.com/index.html#/problem?c=ccbc12/problems/e/p2051"
"zuo-zuo-zuo-zuo-zuo-","糳糳糳糳糳…","ccbc-12","E-2066","piggy","chessboard","https://archive.cipherpuzzles.com/index.html#/problem?c=ccbc12/problems/e/p2066","https://archive.cipherpuzzles.com/index.html#/problem?c=ccbc12/problems/e/p2066"
"old-newspapers","旧报纸","ccbc-12","F-1726","sonic","or,crossword,yin-biao","https://archive.cipherpuzzles.com/index.html#/problem?c=ccbc12/problems/f/p1726","https://archive.cipherpuzzles.com/index.html#/problem?c=ccbc12/problems/f/p1726"
"disappearing-text","消失的文字","ccbc-12","F-1771","seven,sonic","pinyin,chinese-character-shape","https://archive.cipherpuzzles.com/index.html#/problem?c=ccbc12/problems/f/p1771","https://archive.cipherpuzzles.com/index.html#/problem?c=ccbc12/problems/f/p1771"
"rainbow-flag","彩虹旗","ccbc-12","F-1817","yyao","rgc-code,coordinate,colour","https://archive.cipherpuzzles.com/index.html#/problem?c=ccbc12/problems/f/p1817","https://archive.cipherpuzzles.com/index.html#/problem?c=ccbc12/problems/f/p1817"
"bulb-matrix","灯泡矩阵","ccbc-12","F-1876","yyao","braille","https://archive.cipherpuzzles.com/index.html#/problem?c=ccbc12/problems/f/p1876","https://archive.cipherpuzzles.com/index.html#/problem?c=ccbc12/problems/f/p1876"
"ticket","车票","ccbc-12","F-1912","nano","25-pair-color-code,metro","https://archive.cipherpuzzles.com/index.html#/problem?c=ccbc12/problems/f/p1912","https://archive.cipherpuzzles.com/index.html#/problem?c=ccbc12/problems/f/p1912"
"strange-words-and-characters","奇文异字","ccbc-12","F-1915","sonic","single-table,yin-biao","https://archive.cipherpuzzles.com/index.html#/problem?c=ccbc12/problems/f/p1915","https://archive.cipherpuzzles.com/index.html#/problem?c=ccbc12/problems/f/p1915"
"second-grade-textbooks","二年级课本","ccbc-12","F-1923","yyao","bilibili","https://archive.cipherpuzzles.com/index.html#/problem?c=ccbc12/problems/f/p1923","https://archive.cipherpuzzles.com/index.html#/problem?c=ccbc12/problems/f/p1923"
"list-of-ink-stains","沾染墨水的清单","ccbc-12","F-1995","sonic","binary,black-box-reasoning","https://archive.cipherpuzzles.com/index.html#/problem?c=ccbc12/problems/f/p1995","https://archive.cipherpuzzles.com/index.html#/problem?c=ccbc12/problems/f/p1995"
"music-cd","音乐CD","ccbc-12","F-2018","yyao","track-recognition,listen-music-recognition","https://archive.cipherpuzzles.com/index.html#/problem?c=ccbc12/problems/f/p2018","https://archive.cipherpuzzles.com/index.html#/problem?c=ccbc12/problems/f/p2018"
"virtual-reality","虚拟现实","ccbc-12","F-2030","piggy,sonic","network-mistake","https://archive.cipherpuzzles.com/index.html#/problem?c=ccbc12/problems/f/p2030","https://archive.cipherpuzzles.com/index.html#/problem?c=ccbc12/problems/f/p2030"
"silicon-based-biological-calculator","硅基生物计算器","ccbc-12","F-2040","sonic","binary,black-box-reasoning","https://archive.cipherpuzzles.com/index.html#/problem?c=ccbc12/problems/f/p2040","https://archive.cipherpuzzles.com/index.html#/problem?c=ccbc12/problems/f/p2040"
"timeline-intersection-point","时间线交汇点","ccbc-12","Final Meta","yyao","calculate,repeating-decimal,heavenly-stems-and-earthly-branches","https://archive.cipherpuzzles.com/index.html#/problem?c=ccbc12/problems/mm","https://archive.cipherpuzzles.com/index.html#/problem?c=ccbc12/problems/mm"
"endpoint-a","终结点A","ccbc-12","Meta A","yyao","9-keyboard","https://archive.cipherpuzzles.com/index.html#/problem?c=ccbc12/problems/a/metaa","https://archive.cipherpuzzles.com/index.html#/problem?c=ccbc12/problems/a/metaa"
"endpoint-b","终结点B","ccbc-12","Meta B","yyao","foreign-language-cycle","https://archive.cipherpuzzles.com/index.html#/problem?c=ccbc12/problems/b/metab","https://archive.cipherpuzzles.com/index.html#/problem?c=ccbc12/problems/b/metab"
"endpoint-c","终结点C","ccbc-12","Meta C","yyao","music-tune","https://archive.cipherpuzzles.com/index.html#/problem?c=ccbc12/problems/c/metac","https://archive.cipherpuzzles.com/index.html#/problem?c=ccbc12/problems/c/metac"
"endpoint-d","终结点D","ccbc-12","Meta D","yyao","semaphore,emoji","https://archive.cipherpuzzles.com/index.html#/problem?c=ccbc12/problems/d/metad","https://archive.cipherpuzzles.com/index.html#/problem?c=ccbc12/problems/d/metad"
"endpoint-e","终结点E","ccbc-12","Meta E","yyao","decathlon","https://archive.cipherpuzzles.com/index.html#/problem?c=ccbc12/problems/e/metae","https://archive.cipherpuzzles.com/index.html#/problem?c=ccbc12/problems/e/metae"
"endpoint-f","终结点F","ccbc-12","Meta F","yyao","compound-word","https://archive.cipherpuzzles.com/index.html#/problem?c=ccbc12/problems/f/metaf","https://archive.cipherpuzzles.com/index.html#/problem?c=ccbc12/problems/f/metaf"
"a-good-question","一道好题","ccbc-13-14","C13-#1","seven-king-plus,yao-yu","semaphore,9-keyboard,qwerty,railing,nato,slither-link,crossword,bilibili","https://archive.cipherpuzzles.com/index.html#/problem?c=ccbc13/problems/CCBC-13/1","https://archive.cipherpuzzles.com/index.html#/problem?c=ccbc13/problems/CCBC-13/1"
"idiom-exam","成语考试","ccbc-13-14","C13-#10","luo-ye-zi","binary,kanto-expand,chinese-character-pronunciation,idiom-and-colloquialism,chinese-character-homophonic,chinese-character-riddle,chinese-character-structure,anti-tangent-code,sub-puzzle","https://archive.cipherpuzzles.com/index.html#/problem?c=ccbc13/problems/CCBC-13/10","https://archive.cipherpuzzles.com/index.html#/problem?c=ccbc13/problems/CCBC-13/10"
"circles-circles-circles","圈圈圆圆圈圈","ccbc-13-14","C13-#11","es,yao-yu,luo-ye-zi","airport-code,chinese-character-","https://archive.cipherpuzzles.com/index.html#/problem?c=ccbc13/problems/CCBC-13/11","https://archive.cipherpuzzles.com/index.html#/problem?c=ccbc13/problems/CCBC-13/11"
"submit-records","提交记录","ccbc-13-14","C13-#12","luo-ye-zi","braille,binary,ternary,hexadecimal,japanese,sudoku,star-battle,crossword,drop-quote,sub-puzzle,meta-matching","https://archive.cipherpuzzles.com/index.html#/problem?c=ccbc13/problems/CCBC-13/12","https://archive.cipherpuzzles.com/index.html#/problem?c=ccbc13/problems/CCBC-13/12"
